TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
IsolatedBuilding,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,97,,,,,Explicit Definition,"n.º 20 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,"From the point of view of the propagation of fire between façades, buildings that comply with one of the following characteristics:
a) Have façades facing other buildings at a distance of 8 m or more;
b) They have façades facing other buildings, provided that they comply with paragraph a) of Art. 7(8) of of Technical Regulation.","Do ponto de vista de propagação do fogo entre fachadas, edifícios que obedecem a uma das seguintes características:
a) Possuam fachadas em confronto com outros edifícios afastadas de uma distância igual ou superior a 8 m;
b) Possuam fachadas em confronto com outros edifícios, desde que cumpram a alínea a) do n.º 8 do art.º 7.º do RT-SCIE.",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Boolean (yes/no),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Isolated buildings,Edifícios isolados,NA,,"ALREADY COPIED

From the point of view of the propagation of fire between façades, buildings that comply with one of the following characteristics:
a) Have façades facing other buildings at a distance of 8 m or more;
b) They have façades facing other buildings, provided that they comply with paragraph a) of Art. 7(8) of of Technical Regulation - Fire Safety in Buildings.","ALREADY COPIED

Do ponto de vista de propagação do fogo entre fachadas, edifícios que obedecem a uma das seguintes características:
a) Possuam fachadas em confronto com outros edifícios afastadas de uma distância igual ou superior a 8 m;
b) Possuam fachadas em confronto com outros edifícios, desde que cumpram a alínea a) do n.º 8 do art.º 7.º do RT-SCIE.",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
Space,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,132,,,,,Explicit Definition,"n.º 23 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,Interior and exterior areas of buildings or enclosures.,Áreas interiores e exteriores dos edifícios ou recintos,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA	,NA,NA,"January 6, 2026 1:13 PM",,,IfcSpace,property,Choice,Enumeration (choice),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Spaces,Espaço,NA,,"ALREADY COPIED

Interior and exterior areas of buildings or enclosures","ALREADY COPIED

Áreas interiores e exteriores dos edifícios ou recintos",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
IndependentBuilding,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,136,,,,,Explicit Definition,"n.º 19 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,"Buildings with independent structures, with no internal communication between them or, when there is one, it is exclusively through a fire chamber, and which comply with the provisions of Fire Safety in Buildings Regulation, regarding the fire resistance of the construction elements that isolate them from each other, as well as parts of the same building with a common structure, with no internal communication between them or, where there is one, it is carried out exclusively through a fire chamber and they comply with the provisions of Fire Safety in Buildings Regulation in relation to the fire resistance of the construction elements that isolate them from each other and neither part depends on the other to comply with the regulatory evacuation conditions.","Edifícios dotados de estruturas independentes, sem comunicação interior entre eles ou, quando exista, a mesma seja efetuada exclusivamente através de câmara corta-fogo, e que cumpram as disposições de SCIE, relativamente à resistência ao fogo dos elementos de construção que os isolam entre si, bem como as partes de um mesmo edifício com estrutura comum, sem comunicação interior entre elas ou, quando exista, a mesma seja efetuada exclusivamente através de câmara corta-fogo e cumpram as disposições de SCIE, relativamente à resistência ao fogo dos elementos de construção que as isolam entre si e nenhuma das partes dependa da outra para cumprir as condições regulamentares de evacuação",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Boolean (yes/no),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Independent building ,Edifícios independente ,NA,,"ALREADY COPIED

Buildings with independent structures, with no internal communication between them or, when there is one, it is exclusively through a fire chamber, and which comply with the provisions of Fire Safety in Buildings Regulation, regarding the fire resistance of the construction elements that isolate them from each other, as well as parts of the same building with a common structure, with no internal communication between them or, where there is one, it is carried out exclusively through a fire chamber and they comply with the provisions of Fire Safety in Buildings Regulation in relation to the fire resistance of the construction elements that isolate them from each other and neither part depends on the other to comply with the regulatory evacuation conditions.","ALREADY COPIED

Edifícios dotados de estruturas independentes, sem comunicação interior entre eles ou, quando exista, a mesma seja efetuada exclusivamente através de câmara corta-fogo, e que cumpram as disposições de SCIE, relativamente à resistência ao fogo dos elementos de construção que os isolam entre si, bem como as partes de um mesmo edifício com estrutura comum, sem comunicação interior entre elas ou, quando exista, a mesma seja efetuada exclusivamente através de câmara corta-fogo e cumpram as disposições de SCIE, relativamente à resistência ao fogo dos elementos de construção que as isolam entre si e nenhuma das partes dependa da outra para cumprir as condições regulamentares de evacuação",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
RoomType,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,104,,,,"RoomTypeA (https://www.notion.so/RoomTypeA-232f8487e6e7805792d2d5b05a7814a9?pvs=21), RoomTypeB (https://www.notion.so/RoomTypeB-232f8487e6e78047b5aad47c87e9403f?pvs=21), RoomTypeC (https://www.notion.so/RoomTypeC-232f8487e6e780ba8c5bdfccaa9a5c10?pvs=21), RoomTypeC+ (https://www.notion.so/RoomTypeC-232f8487e6e78092bc83fd6a4721c7f8?pvs=21), RoomTypeD (https://www.notion.so/RoomTypeD-232f8487e6e7804fb460cfdf261061b3?pvs=21), RoomTypeE (https://www.notion.so/RoomTypeE-232f8487e6e780c993a3ce782de54296?pvs=21), RoomTypeF (https://www.notion.so/RoomTypeF-232f8487e6e78081a004e0219ba63ba9?pvs=21)"," Explicit Definition","n.º 38 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,"Classification of any area of a building or premises, based on the nature of the fire risk, in accordance with the provisions of Article 10 of RJ-SCIE.","Classificação de qualquer área de um edifício ou recinto, em função
da natureza do risco de incêndio, em conformidade com o disposto no artigo 10.º do Decreto -Lei n.º 220/2008, de 12 de novembro, na sua redação atual (Regime Jurídico da Segurança Contra Incêndio em Edifícios - RJ-SCIE).","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Choice,Enumeration (choice),NA,Room; Space;,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Room (Type of),Locais de risco,NA,,"ALREADY COPIED
Classification of any area of a building or enclosure according to the nature of the fire risk, in accordance with the provisions of Art.10 of Legal Regime - Fire Safety in Buildings ","ALREADY COPIED
Classificação de qualquer área de um edifício ou recinto, em função da natureza do risco de incêndio, em conformidade com o disposto no art.º 10.º do RJ-SCIE",,Generic,"0. BUILDING INFORMATION, 1. COMPARTMENTATION, 1.1 Compartment Size",,,,Definition found on local regulation document,pt-PT,,NA,,
OccupancyType,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,162,,,,"OccupancyTypeI - Residential buildings (https://www.notion.so/OccupancyTypeI-Residential-buildings-231f8487e6e7800bbdfdd2366a899b95?pvs=21), OccupancyTypeII - Garages and Car Parks (https://www.notion.so/OccupancyTypeII-Garages-and-Car-Parks-231f8487e6e7802caf4af1e60b4bfea2?pvs=21), OccupancyTypeIII - Administrative (https://www.notion.so/OccupancyTypeIII-Administrative-231f8487e6e7807e9dc3c52f26feea1f?pvs=21), OccupancyTypeIV - Schools (https://www.notion.so/OccupancyTypeIV-Schools-231f8487e6e780059c85ea97e01649c1?pvs=21), OccupancyTypeV - Healthcare and Nursing Homes (https://www.notion.so/OccupancyTypeV-Healthcare-and-Nursing-Homes-231f8487e6e780a48357d13492560b7a?pvs=21), OccupancyTypeVI - Public Entertainment and Assembly (https://www.notion.so/OccupancyTypeVI-Public-Entertainment-and-Assembly-231f8487e6e780999329e3343bd24f8d?pvs=21), OccupancyTypeVII - Hotels and Restaurants (https://www.notion.so/OccupancyTypeVII-Hotels-and-Restaurants-231f8487e6e780ddb697ea5f437c125d?pvs=21), OccupancyTypeVIII - Retail and Transport Hubs (https://www.notion.so/OccupancyTypeVIII-Retail-and-Transport-Hubs-231f8487e6e780dda384ee09b3eb946a?pvs=21), OccupancyTypeIX - Sports and Leisure Facilities (https://www.notion.so/OccupancyTypeIX-Sports-and-Leisure-Facilities-231f8487e6e78055a3e3cd32d1aebc8d?pvs=21), OccupancyTypeX - Museums and Art Galleries (https://www.notion.so/OccupancyTypeX-Museums-and-Art-Galleries-231f8487e6e780b78d83d7cb9d764752?pvs=21), OccupancyTypeXI- Libraries and Archives (https://www.notion.so/OccupancyTypeXI-Libraries-and-Archives-231f8487e6e780cdb6f2dc866fb6883e?pvs=21), OccupancyTypeXII- Industrial Buildings, Workshops and Warehouses (https://www.notion.so/OccupancyTypeXII-Industrial-Buildings-Workshops-and-Warehouses-231f8487e6e7807eaaa5ca4cdef1d283?pvs=21)",Explicit Definition,"n.º 67 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,"Classification given by the dominant use of any building or enclosure, or of each of its parts, in accordance with the provisions of Art. 8 of Legal Regime - Fire Safety in Buildings ","Classificação dada pelo uso dominante de qualquer edifício ou recinto, ou de cada uma das suas partes, em conformidade com o disposto no art.º 8.º do RJ-SCIE",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RJ-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Choice,Enumeration (choice),UT,"Use type; Type of use; ","Regime Jurídico da Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regime-Jur-dico-da-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e780e4b0ddfba6514d4f14?pvs=21), Nota Técnica n.º 05 - Locais de risco (https://www.notion.so/Nota-T-cnica-n-05-Locais-de-risco-197f8487e6e7804983c3fd1b8261c324?pvs=21)",Yes,Occupancy (type of),Utilização-Tipo,NA,,"ALREADY COPIED

Classification given by the dominant use of any building or enclosure, or of each of its parts, in accordance with the provisions of Art. 8 of Legal Regime - Fire Safety in Buildings ","ALREADY COPIED

Classificação dada pelo uso dominante de qualquer edifício ou recinto, ou de cada uma das suas partes, em conformidade com o disposto no art.º 8.º do RJ-SCIE",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
ReferencePlane,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,164,,,,,Explicit Definition,"n.º 54 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,"The level plane, at the floor level of the access for rescue vehicles, measured perpendicular to a direct exit to the outside of the building; if there is more than one reference plane, the most favorable plane for fire department operations is considered","O nível do plano, ao nível do piso de acesso dos veículos de socorro, medido perpendicularmente a uma saída direta para o exterior do edifício; se existir mais do que um plano de referência, considera-se o plano mais favorável às operações dos bombeiros",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Boolean (yes/no),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Reference plane,Plano de referência,NA,,"ALREADY COPIED

The level plane, at the floor level of the access for rescue vehicles, measured perpendicular to a direct exit to the outside of the building; if there is more than one reference plane, the most favorable plane for fire department operations is considered","ALREADY COPIED

O nível do plano, ao nível do piso de acesso dos veículos de socorro, medido perpendicularmente a uma saída direta para o exterior do edifício; se existir mais do que um plano de referência, considera-se o plano mais favorável às operações dos bombeiros",,Generic,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
Occupants,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,129,,,,,Explicit Definition,"n.º 21 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,The estimated maximum number of people that can simultaneously occupy a given space in a building or enclosure,O número máximo estimado de pessoas que podem ocupar simultaneamente um determinado espaço num edifício ou recinto,"0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21), 2.1 Number of Doors/Exits (https://www.notion.so/2-1-Number-of-Doors-Exits-24ef8487e6e78093a0edc1e92083b8e4?pvs=21)",RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Unit,Number,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Occupants (or number of occupants),Efetivo,NA,,"ALREADY COPIED 

The estimated maximum number of people that can simultaneously occupy a given space in a building or enclosure","ALREADY COPIED 

O número máximo estimado de pessoas que podem ocupar simultaneamente um determinado espaço num edifício ou recinto",,Generic,"0. BUILDING INFORMATION, 2. EVACUATION, 2.1 number of doors/exits",,,,Definition found on local regulation document,pt-PT,,NA,,
FireLoadDensityModified,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,88,,,,,Explicit Definition,Art. 2(h) do RJ-SCIE,,,"The fire load density affected by coefficients relating to the degree of danger and the fuel activation index, determined on the basis of the criteria referred to in Article 12(4);","A densidade da carga de incêndio é afetada por coeficientes relativos ao grau de perigo e ao índice de ativação do combustível, determinados com base nos critérios referidos no nº 4 do artigo 12º;",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RJ-SCIE,NA,,,"January 6, 2026 1:13 PM",,,,property,MJ/m^2,Number,NA,NA,"Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21), Regime Jurídico da Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regime-Jur-dico-da-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e780e4b0ddfba6514d4f14?pvs=21)",Yes,Modified fire load density,Densidade da carga de incêndio modificada,"In Portugal, the fire load density is corrected by an activation risk and a combustibility coefficient and is called the modified load density.",,"The fire load density affected by coefficients relating to the degree of danger and the fuel activation index, determined on the basis of the criteria referred to in Article 12(4);","A densidade da carga de incêndio é afetada por coeficientes relativos ao grau de perigo e ao índice de ativação do combustível, determinados com base nos critérios referidos no nº 4 do artigo 12º;",,Fire Compartment,0. BUILDING INFORMATION,,,,Definition found on local regulation document,pt-PT,,NA,,
FireStability,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,146,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.1.10,NA,NA,NA,"Capacidade de uma estrutura ou de um elemento para resistir a acções específicas durante o incêndio relevante, de acordo com um critério definido.",,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Minutes,Number,R,NA,,Yes,Fire Stability,"Estabilidade ao fogo ",,,"Capacity of a structure or element to resist specific actions during the relevant fire, according to a defined criterion.","Capacidade de uma estrutura ou de um elemento para resistir a acções específicas durante o incêndio relevante, de acordo com um critério definido.",,Fire Compartment,3. GENERIC DEFINITION,,,,,pt-PT,,,,FireStability (https://www.notion.so/FireStability-1e0f8487e6e78009b7c0dfe83e87ba7d?pvs=21)
FireTightness,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,98,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.1.8,NA,NA,"Ability of a separating element of building construction, when exposed to fire on one side, to prevent the passage through it of flames and hot gases and to prevent the occurrence of flames on the unexposed side","Capacidade de um elemento de compartimentação de um edifício, quando exposto ao fogo de um lado, para impedir a passagem de chamas e de gases quentes através de si e para impedir a ocorrência de chamas no lado não exposto.",,European standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Minutes,Number,E,Integrity,,Yes,Fire tightness > Integrity,"Estanquidade ao fogo ",,E,"ALREADY COPIED

Ability of a separating element of building construction, when exposed to fire on one side, to prevent the passage through it of flames and hot gases and to prevent the occurrence of flames on the unexposed side","ALREADY COPIED

Capacidade de um elemento de compartimentação de um edifício, quando exposto ao fogo de um lado, para impedir a passagem de chamas e de gases quentes através de si e para impedir a ocorrência de chamas no lado não exposto.",,Fire Compartment,1.2 Fire Compartment boundary,,,,,pt-PT,,NA,,
ThermalInsulation,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,168,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.1.9,NA,NA,"Ability of a building partitioning element, when exposed to fire on one side, to limit the temperature rise of the unexposed side below specified values.","Capacidade de um elemento de compartimentação de um edifício, quando exposto ao fogo de um lado, para limitar o aumento de temperatura da face não exposta abaixo de valores especificados.",,European Standard,,NA,NA,"January 6, 2026 1:13 PM",,,,property,Minutes,Number,I,,NP EN 1991‑1‑2:2010 (https://www.notion.so/NP-EN-1991-1-2-2010-2a7f8487e6e78073bf6bf519aaa46d11?pvs=21),Yes,Thermal insulation,"Isolamento térmico ",,,"ALREADY COPIED
Ability of a building partitioning element, when exposed to fire on one side, to limit the temperature rise of the unexposed side below specified values.","ALREADY COPIED
Capacidade de um elemento de compartimentação de um edifício, quando exposto ao fogo de um lado, para limitar o aumento de temperatura da face não exposta abaixo de valores especificados.",,Fire Compartment,,,,"1.5.1.9
insulation (I)
ability of a separating element of building construction when exposed to fire on one side, to restrict the temperature rise of the unexposed face below specified levels",,pt-PT,,,,
FireDamper,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,92,,,,,Explicit Definition,"n.º 11 do art.º 3º do Anexo I ao
  RT-SCIE",NA,NA,"Automatically operated damper with a given fire resistance rating determined by a standardized fire resistance test, intended to prevent the spread of fire or its effects through a duct or opening for a certain period of time.","Registo de accionamento automático com uma dada qualificação de resistência ao fogo determinada em ensaio normalizado de resistência ao fogo padrão, destinado a impedir a propagação de um incêndio ou dos seus efeitos através de uma conduta ou de uma abertura, durante um certo período de tempo","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21)",RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,"Choice ",Enumeration (choice),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,"Fire damper ",Registo resistente ao fogo,NA,,"ALREADY COPIED

Automatically operated damper with a given fire resistance rating determined by a standardized fire resistance test, intended to prevent the spread of fire or its effects through a duct or opening for a certain period of time.","ALREADY COPIED

Registo de accionamento automático com uma dada qualificação de resistência ao fogo determinada em ensaio normalizado de resistência ao fogo padrão, destinado a impedir a propagação de um incêndio ou dos seus efeitos através de uma conduta ou de uma abertura, durante um certo período de tempo",,Fire Compartment,"1. COMPARTMENTATION, 1.2 Fire Compartment boundary",,,,Definition found on local regulation document,pt-PT,,NA,,
FireResistance,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,155,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.1.4,NA,NA,"Ability of a structure, part of a structure or element to perform its intended functions (load-bearing function and/or compartmentalisation function) for a specific load level, when subjected to a specific fire situation and for a specified period of time.","Capacidade de uma estrutura, de parte de uma estrutura ou de um elemento para desempenhar as funções pretendidas (função de suporte de cargas e/ou função de compartimentação) para um nível de carga específico, quando sujeita a uma situação de incêndio específica e durante um período de tempo especificado.",,European Standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,Choice,Enumeration (choice),,NA,,Yes,Fire Resistance,Resistência ao fogo,“3. GENERIC DEFINITION - WE ADD IT BECAUSE ITS A GENERIC DEFINITION AND ITS NOT RELATED DIRECTLY WITH THE BUILDING - NEED TO BE DISCUSTED,,"ALREADY COPIED

Ability of a structure, part of a structure or element to perform its intended functions (load-bearing function and/or compartmentalisation function) for a specific load level, when subjected to a specific fire situation and for a specified period of time.","ALREADY COPIED

Capacidade de uma estrutura, de parte de uma estrutura ou de um elemento para desempenhar as funções pretendidas (função de suporte de cargas e/ou função de compartimentação) para um nível de carga específico, quando sujeita a uma situação de incêndio específica e durante um período de tempo especificado.",,Fire Compartment,3. GENERIC DEFINITION,,,,,pt-PT,,NA,,
FireResistanceStandard,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,70,,,,,Explicit Definition,NP EN 1991-1-2: 2010 - 1.5.1.16,NA,NA,"Ability of a structure or part of a structure (usually just the elements) to fulfil its intended functions (structural resistance function and/or compartmentation function) in relation to heat exposure, according to the standard fire curve for a specified combination of actions and over a specified period of time.","Capacidade de uma estrutura ou de parte de uma estrutura (normalmente apenas os elementos) para desempenhar as funções pretendidas (função de resistência estrutural e/ou função de compartimentação) relativamente à exposição ao calor, de acordo com a curva de incêndio padrão para uma combinação de acções especificada e durante um período de tempo específico.",,European standard,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,,NA,NA,,Yes,Standard fire resistance,"Resistência ao fogo padrão ",“3. GENERIC DEFINITION - WE ADD IT BECAUSE ITS A GENERIC DEFINITION AND ITS NOT RELATED DIRECTLY WITH THE BUILDING - NEED TO BE DISCUSTED,,"ALREADY COPIED

Ability of a structure or part of a structure (usually just the elements) to fulfil its intended functions (structural resistance function and/or compartmentation function) in relation to heat exposure, according to the standard fire curve for a specified combination of actions and over a specified period of time.","ALREADY COPIED

Capacidade de uma estrutura ou de parte de uma estrutura (normalmente apenas os elementos) para desempenhar as funções pretendidas (função de resistência estrutural e/ou função de compartimentação) relativamente à exposição ao calor, de acordo com a curva de incêndio padrão para uma combinação de acções especificada e durante um período de tempo específico.",,Fire Compartment,3. GENERIC DEFINITION,,,,Interpretation based on another reference document,pt-PT,,NA,,
IndependentFireCompartiment,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,118,,,,,Explicit Definition,n.º 3 do art.º 14º do RT-SCIE,NA,NA,"Different occupancies in the same building must constitute independent fire compartments, with the exceptions provided for in the Technical Regulation","Utilizações-tipo diferentes, no mesmo edifício, devem constituir compartimentos corta -fogo independentes, com as exceções previstas no RT-SCIE","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,Enumeration (choice),NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Independent Fire Compartiment,Compartimentos Corta-Fogo independentes,It essentially refers to Article 17 of the RT-SCIE,,"ALREADY COPIED

Different occupancies in the same building must constitute independent fire compartments, with the exceptions provided for in the Technical Regulation","ALREADY COPIED

Utilizações-tipo diferentes, no mesmo edifício, devem constituir compartimentos corta -fogo independentes, com as exceções previstas no RT-SCIE",,Generic,"0. BUILDING INFORMATION, 1.1 Compartment Size",,,,Definition found on local regulation document,pt-PT,,NA,,
